6.1,2009-05-27 20:37:00 UTC,-73.986997,40.737275,-73.994547,40.750605,1,0
9.3,2010-05-28 17:08:57 UTC,-73.978739,40.750282,-73.973766,40.782959,1,1
8.5,2010-08-22 16:50:10 UTC,-73.952302,40.792617,-73.977761,40.757968,1,2
10.5,2010-12-21 13:08:00 UTC,-73.968765,40.770172,-73.980577,40.767675,1,3
7.7,2012-03-04 00:57:00 UTC,-73.983305,40.7386,-74.002725,40.733902,2,4
5.0,2014-10-16 09:21:39 UTC,-73.98754,40.753597,-73.990257,40.74861,1,5
7.5,2014-04-21 17:27:51 UTC,-73.979339,40.754432,-73.960173,40.76198,1,6
9.5,2014-02-11 03:30:45 UTC,-73.984175,40.760623,-73.987967,40.731858,1,7
16.0,2012-11-12 09:58:30 UTC,-73.984516,40.740264,-73.958128,40.781918,1,8
38.3,2012-11-19 17:41:00 UTC,-73.971412,40.754637,-73.861905,40.767847,2,9
15.7,2010-11-14 01:49:20 UTC,-73.984113,40.721261,-73.952861,40.786425,1,10
16.9,2009-09-25 03:47:00 UTC,-74.001323,40.727572,-73.98723,40.661257,1,11
8.1,2010-02-25 20:14:00 UTC,-73.991345,40.751453,-73.968582,40.755707,5,12
4.0,2013-12-09 15:03:00 UTC,-73.991777,40.744212,-73.988127,40.748822,1,13
22.5,2013-12-06 14:55:00 UTC,-73.980962,40.733595,-73.971825,40.790337,1,14
7.0,2013-05-05 00:50:11 UTC,-73.988943,40.744946,-73.974377,40.732244,1,15
17.7,2010-12-21 13:08:00 UTC,-73.957458,40.765693,-73.940783,40.839138,1,16
43.699999999999996,2011-07-28 01:47:21 UTC,-73.995126,40.760281,-73.969707,40.581505,1,17
16.1,2012-03-04 00:57:00 UTC,-74.004595,40.741882,-73.95025,40.7873,1,18
7.7,2012-01-10 13:53:59 UTC,-73.9838,40.7344,-73.9893,40.7463,1,19
15.3,2010-05-02 13:33:58 UTC,-73.971058,40.798369,-74.000717,40.745293,1,20
12.9,2012-07-19 06:27:00 UTC,-73.996567,40.72361,-73.954558,40.786827,1,21
9.5,2013-06-29 12:02:12 UTC,-73.989976,40.746631,-74.004737,40.722897,1,22
